Date,Currency,Mean,Buy,Sell
09/01/2015,KES / TSHS,19.0453,18.9759,19.1147
09/01/2015,KES / RWF,7.5523,7.5026,7.6019
09/01/2015,KES / BIF,17.0727,16.95,17.1955
09/01/2015,AE DIRHAM,24.802,24.7827,24.8212
09/01/2015,CAN $,77.023,76.9545,77.0914
09/01/2015,S FRANC,89.6466,89.5695,89.7238
09/01/2015,JPY (100),76.1092,76.048,76.1704
09/01/2015,SW KRONER,11.4187,11.4089,11.4285
09/01/2015,NOR KRONER,11.8423,11.8321,11.8524
09/01/2015,DAN KRONER,14.4489,14.4374,14.4604
09/01/2015,IND RUPEE,1.4459,1.4447,1.4471
09/01/2015,HONGKONG DOLLAR,11.748,11.7391,11.757
09/01/2015,SINGAPORE DOLLAR,68.1495,68.0848,68.2142
09/01/2015,SAUDI RIYAL,24.2613,24.2416,24.2811
09/01/2015,CHINESE YUAN,14.6775,14.6658,14.6892
09/01/2015,AUSTRALIAN $,74.0452,73.9614,74.129
12/01/2015,US DOLLAR,91.13,91.0633,91.1967
12/01/2015,STG POUND,138.2011,138.0939,138.3083
12/01/2015,EURO,108.0472,107.9533,108.1411
12/01/2015,SA RAND,7.942,7.9341,7.9498
12/01/2015,KES / USHS,31.3838,31.306,31.4616
12/01/2015,KES / TSHS,19.1266,19.0577,19.1954
12/01/2015,KES / RWF,7.5497,7.5003,7.5991
12/01/2015,KES / BIF,17.0669,16.9447,17.1891
12/01/2015,AE DIRHAM,24.8104,24.792,24.8289
12/01/2015,CAN $,76.9614,76.8856,77.0372
12/01/2015,S FRANC,90.0138,89.9302,90.0975
12/01/2015,JPY (100),77.1308,77.0678,77.1937
12/01/2015,SW KRONER,11.3308,11.3215,11.3402
12/01/2015,NOR KRONER,11.9154,11.9056,11.9252
12/01/2015,DAN KRONER,14.5334,14.5204,14.5463
12/01/2015,IND RUPEE,1.466,1.4648,1.4672
12/01/2015,HONGKONG DOLLAR,11.7533,11.7447,11.7618
12/01/2015,SINGAPORE DOLLAR,68.4699,68.3967,68.5432
12/01/2015,SAUDI RIYAL,24.2709,24.2499,24.2919
12/01/2015,CHINESE YUAN,14.7015,14.69,14.7129
12/01/2015,AUSTRALIAN $,75.1914,75.1181,75.2646
13/01/2015,US DOLLAR,91.2428,91.1678,91.3178
13/01/2015,STG POUND,138.2797,138.1444,138.415
13/01/2015,EURO,107.9281,107.8156,108.0406
13/01/2015,SA RAND,7.9194,7.9104,7.9283
13/01/2015,KES / USHS,31.4217,31.3411,31.5024
13/01/2015,KES / TSHS,19.0153,18.9448,19.0857
13/01/2015,KES / RWF,7.5404,7.4903,7.5904
13/01/2015,KES / BIF,17.2071,16.9189,17.4952
13/01/2015,AE DIRHAM,24.8411,24.8204,24.8619
13/01/2015,CAN $,76.3219,76.2464,76.3974
13/01/2015,S FRANC,89.859,89.7586,89.9594
13/01/2015,JPY (100),76.917,76.844,76.9899
13/01/2015,SW KRONER,11.2982,11.2864,11.31
13/01/2015,NOR KRONER,11.7847,11.7712,11.7982
13/01/2015,DAN KRONER,14.5049,14.4918,14.5179
13/01/2015,IND RUPEE,1.4692,1.4678,1.4705
13/01/2015,HONGKONG DOLLAR,11.7681,11.7584,11.7778
13/01/2015,SINGAPORE DOLLAR,68.3108,68.2496,68.3721
13/01/2015,SAUDI RIYAL,24.3103,24.2887,24.3319
13/01/2015,CHINESE YUAN,14.7116,14.6983,14.7249
13/01/2015,AUSTRALIAN $,74.3994,74.32,74.4788
14/01/2015,US DOLLAR,91.3333,91.2583,91.4083
14/01/2015,STG POUND,138.4783,138.3472,138.6094
14/01/2015,EURO,107.6817,107.5789,107.7844
14/01/2015,SA RAND,7.8952,7.8861,7.9042
14/01/2015,KES / USHS,31.6588,31.5945,31.7231
14/01/2015,KES / TSHS,19.1059,19.0355,19.1763
14/01/2015,KES / RWF,7.5329,7.4829,7.5829
14/01/2015,KES / BIF,17.19,16.9022,17.4779
14/01/2015,AE DIRHAM,24.8658,24.845,24.8866
14/01/2015,CAN $,76.1714,76.1057,76.2371
14/01/2015,S FRANC,89.6744,89.5831,89.7656
14/01/2015,JPY (100),77.9594,77.8854,78.0334
14/01/2015,SW KRONER,11.3171,11.303,11.3311
14/01/2015,NOR KRONER,11.7766,11.7631,11.7901
14/01/2015,DAN KRONER,14.48,14.4685,14.4915
14/01/2015,IND RUPEE,1.4696,1.4682,1.4709
14/01/2015,HONGKONG DOLLAR,11.7799,11.7703,11.7896
14/01/2015,SINGAPORE DOLLAR,68.3735,68.3122,68.4348
14/01/2015,SAUDI RIYAL,24.3345,24.3129,24.3561
14/01/2015,CHINESE YUAN,14.7386,14.7253,14.7518
